Country,Code,Continent,GDP,DeathRate,Population,Value
Rwanda,RWA,Africa,1854.210791,0.077,494.8685448,1
Saint Lucia,LCA,North America,12951.83888,3.11186,293.1868852,4
Saint Vincent and the Grenadines,VCT,North America,10727.14607,2.57529,281.7871795,4
Sao Tome and Principe,STP,Africa,3052.713743,1.30371,212.840625,1
Saudi Arabia,SAU,Asia,49045.41126,0.15186,15.32230833,0
Senegal,SEN,Africa,2470.579582,0.367,82.32777749,1
Serbia,SRB,Europe,14048.88064,2.855,80.29119598,2
Seychelles,SYC,Africa,26382.28735,4.35814,208.3543478,1
Sierra Leone,SLE,Africa,1390.300267,0.03586,104.699529,1
Singapore,SGP,Asia,85535.3832,0,7915.730606,0
Slovenia,SVN,Europe,31400.83951,2.74857,102.6190665,2
Somalia,SOM,Africa,499,0.57514,23.5000526,1
South Africa,ZAF,Africa,12294.87614,1.56114,46.75428534,1
South Korea,KOR,Asia,35938.37422,0.09771,527.9667727,0
South Sudan,SSD,Africa,237,0.03829,19.7,1
Spain,ESP,Europe,34272.36038,4.83986,93.10495192,2
Sri Lanka,LKA,Asia,4102,0.20686,341.9550311,0
Sudan,SDN,Africa,4466.506755,0.14657,23.25841751,1
Suriname,SUR,South America,13767.11851,0.24357,3.611551282,5
Sweden,SWE,Europe,46949.28309,1.89543,24.71764504,2
Switzerland,CHE,Europe,57410.16586,1.12229,214.2427624,2
Syria,SYR,Asia,4240,0.286,100.4,0
Tajikistan,TJK,Asia,2896.912851,0.015,64.28128918,0
Tanzania,TZA,Africa,2683.304024,0,64.69859901,1
Thailand,THA,Asia,16277.67115,0.002,135.1318542,0
Togo,TGO,Africa,1429.813427,0.08643,143.3663173,1
Trinidad and Tobago,TTO,North America,28763.07076,0.10214,266.8859649,4
Tunisia,TUN,Africa,10849.29739,2.50229,74.22841787,1
Turkey,TUR,Asia,25129.34065,0.764,104.9140756,0
Uganda,UGA,Africa,1697.706511,0.00314,213.7590166,1
Ukraine,UKR,Europe,7894.392926,3.75329,77.38983756,2
United Arab Emirates,ARE,Asia,67293.48276,1.19886,112.4419258,0
United Kingdom,GBR,Europe,39753.24389,2.40729,272.8982474,2
United States,USA,North America,54225.44612,4.18714,35.60776459,4
Uruguay,URY,South America,20551.40942,2.13843,19.75059993,5
Uzbekistan,UZB,Asia,6253.10386,0.00429,76.13352139,0
Venezuela,VEN,South America,6822,0.25614,36.25312057,5
Vietnam,VNM,Asia,6171.884192,0,308.1265521,0
Yemen,YEM,Asia,944,0.10557,53.50762354,0
Zambia,ZMB,Africa,3689.250826,0.303,22.99483447,1
Zimbabwe,ZWE,Africa,1899.774977,0.08657,42.72949205,1
